"No.","Time","Source","Destination","Protocol","Length","Info"
"1097","2.657233","172.217.166.174","192.168.0.7","TCP","1414","[TCP Out-Of-Order] 443  >  1634 [ACK] Seq=38081 Ack=1 Win=246 Len=1360"
"1098","2.657339","192.168.0.7","172.217.166.174","TCP","66","[TCP Dup ACK 1094#1] 1634  >  443 [ACK] Seq=1 Ack=36721 Win=260 Len=0 SLE=39441 SRE=40801"
"1099","2.684457","172.217.166.174","192.168.0.7","SSL","1414","[TCP Previous segment not captured] , Continuation Data"
"1100","2.684505","192.168.0.7","172.217.166.174","TCP","66","1634  >  443 [ACK] Seq=1 Ack=40801 Win=260 Len=0 SLE=42161 SRE=43521"
"1101","2.722918","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"1102","2.722965","192.168.0.7","172.217.166.174","TCP","66","[TCP Dup ACK 1100#1] 1634  >  443 [ACK] Seq=1 Ack=40801 Win=260 Len=0 SLE=42161 SRE=44881"
"1103","2.734336","192.168.0.2","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1104","2.750409","172.217.166.174","192.168.0.7","TCP","1414","[TCP Retransmission] 443  >  1634 [ACK] Seq=40801 Ack=1 Win=246 Len=1360"
"1105","2.790831","192.168.0.7","172.217.166.174","TCP","54","1634  >  443 [ACK] Seq=1 Ack=44881 Win=260 Len=0"
"1106","2.795504","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"1107","2.836469","192.168.0.7","172.217.166.174","TCP","54","1634  >  443 [ACK] Seq=1 Ack=46241 Win=260 Len=0"
"1108","2.872612","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"1109","2.877191","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"1110","2.877269","192.168.0.7","172.217.166.174","TCP","54","1634  >  443 [ACK] Seq=1 Ack=48961 Win=260 Len=0"
"1111","2.996294","172.217.166.174","192.168.0.7","SSL","1414","[TCP Previous segment not captured] , Continuation Data"
"1112","2.996341","192.168.0.7","172.217.166.174","TCP","66","[TCP Dup ACK 1110#1] 1634  >  443 [ACK] Seq=1 Ack=48961 Win=260 Len=0 SLE=50321 SRE=51681"
"1113","2.999551","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"1114","2.999613","192.168.0.7","172.217.166.174","TCP","66","[TCP Dup ACK 1110#2] 1634  >  443 [ACK] Seq=1 Ack=48961 Win=260 Len=0 SLE=50321 SRE=53041"
"1115","3.033382","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"1116","3.033437","192.168.0.7","172.217.166.174","TCP","66","[TCP Dup ACK 1110#3] 1634  >  443 [ACK] Seq=1 Ack=48961 Win=260 Len=0 SLE=50321 SRE=54401"
"1117","3.276424","192.168.0.2","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1118","3.276424","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"1119","3.276425","172.217.166.174","192.168.0.7","TCP","1414","[TCP Out-Of-Order] 443  >  1634 [ACK] Seq=48961 Ack=1 Win=246 Len=1360"
"1120","3.276426","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"1121","3.276428","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
